dataset,model_name,method_name,prediction_rows,questions_per_rerun,rerun_count,accuracy_mean,accuracy_std,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,calls_per_question_mean,latency_ms_mean,acc_per_1k_tokens,rows_with_request_failures,request_failures_total,rerun_accuracy_min,rerun_accuracy_max
gsm8k,xiaomimimo/mimo-v2.5,cot_1,300,300,1,0.9733333333333334,0.0,166.43666666666667,93.42666666666666,259.86333333333334,1.0,2268.0360778669515,3.74555856283431,0,0,0.9733333333333334,0.9733333333333334
gsm8k,xiaomimimo/mimo-v2.5,sc_5,300,300,1,0.9733333333333334,0.0,832.1833333333333,464.9433333333333,1297.1266666666668,5.0,11607.705505850414,0.750376473127785,0,0,0.9733333333333334,0.9733333333333334
hotpotqa,xiaomimimo/mimo-v2.5,cot_1,300,300,1,0.6833333333333333,0.0,1530.94,82.68,1613.62,1.0,2378.8991224082806,0.42347847283333956,0,0,0.6833333333333333,0.6833333333333333
hotpotqa,xiaomimimo/mimo-v2.5,sc_5,300,300,1,0.7033333333333334,0.0,7650.583333333333,415.85333333333335,8066.4366666666665,5.0,12297.855991392085,0.08719256871373605,0,0,0.7033333333333334,0.7033333333333334
strategyqa,xiaomimimo/mimo-v2.5,cot_1,229,229,1,0.8384279475982532,0.0,119.40174672489083,57.41048034934498,176.8122270742358,1.0,2073.403898219875,4.74191158310694,0,0,0.8384279475982532,0.8384279475982532
strategyqa,xiaomimimo/mimo-v2.5,sc_5,229,229,1,0.7816593886462883,0.0,597.0087336244542,294.1877729257642,891.1965065502184,5.0,10864.009238950355,0.8770898257580213,0,0,0.7816593886462883,0.7816593886462883
