label,x,y,value
dala_lite_same_context_v1,0.918893,0.71,0.71
trigger_early_exit_v1,0.54698,0.84,0.84
trigger_voc_v2,0.822325,0.73,0.73
sparc_v1_smoke,0.657197,0.666667,0.666667
